?taxon,?taxon_name,taxon_search_string,otl_is_approximate_match,otl_is_synonym,otl_matched_name,otl_nomenclature_code,otl_score,otl_search_string,otl_taxon.flags,otl_taxon.is_suppressed,otl_taxon.is_suppressed_from_synth,otl_taxon.name,otl_taxon.ott_id,otl_taxon.rank,otl_taxon.source,otl_taxon.synonyms,otl_taxon.tax_sources,otl_taxon.unique_name
Q64524,Psammomys,psammomys,False,False,Psammomys,ICZN,1.0,psammomys,[],False,False,Psammomys,674916.0,genus,ott3.6draft1,['Parameriones'],"['ncbi:48138', 'gbif:2437848', 'irmng:1418850', 'irmng:1418800']",Psammomys
Q71118,Leptosomus discolor,leptosomus discolor,False,False,Leptosomus discolor,ICZN,1.0,leptosomus discolor,[],False,False,Leptosomus discolor,897867.0,species,ott3.6draft1,[],"['ncbi:188344', 'irmng:10218085']",Leptosomus discolor
Q69167,Aaaaba,aaaaba,True,False,Aaaba,ICZN,0.800000011920929,aaaaba,[],False,False,Aaaba,5087130.0,genus,ott3.6draft1,['Alcinous'],"['ncbi:1580657', 'gbif:3260806', 'irmng:1007888']",Aaaba
Q69909,Calloselasma rhodostoma,calloselasma rhodostoma,False,False,Calloselasma rhodostoma,ICZN,1.0,calloselasma rhodostoma,[],False,False,Calloselasma rhodostoma,652544.0,species,ott3.6draft1,"['Agkistrodon annamensis', 'Agkistrodon rhodostoma', 'Akistrodon rhodostoma', 'Ancistrodon annamensis', 'Ancistrodon rhodostoma', 'Calloselasma annamensis', 'Calloselasma rhodostoma annamensis', 'Leiolepis rhodostoma', 'Trigonocephalus rhodostoma']","['ncbi:8717', 'gbif:2443815', 'irmng:11383321']",Calloselasma rhodostoma
Q6542,Herpesvirales,herpesvirales,,,,,,,,,,,,,,,,
Q6844,Hepatitis B virus,hepatitis b,True,False,Hepatitis,undefined,0.7777777910232544,hepatitis b,"['hidden', 'barren', 'major_rank_conflict']",True,True,Hepatitis,5272345.0,genus,ott3.6draft1,[],['irmng:1382421'],Hepatitis
Q6974,Human herpesvirus 6,human herpesvirus,,,,,,,,,,,,,,,,
Q13181,Vaccinium subg. Oxycoccus,vaccinium subg.,,,,,,,,,,,,,,,,
Q19078,Inioidea,inioidea,,,,,,,,,,,,,,,,
Q19081,Prokaryota,prokaryota,,,,,,,,,,,,,,,,
Q38584,Canis lupus dingo,canis lupus,False,False,Canis lupus,ICZN,1.0,canis lupus,[],False,False,Canis lupus,247341.0,species,ott3.6draft1,"['Aenocyon milleri', 'Canis dingo', 'Canis familiaris', 'Canis furlongi', 'Canis lycaon', 'Canis milleri', 'Canis nubilus', 'Canis occidentalis', 'Canis pambasileus', 'Canis petrolei', 'Canis tundrarum', 'Canis variabilis', 'Lupus gigas', 'Lupus lupus']","['ncbi:9612', 'gbif:5219173', 'irmng:11407661']",Canis lupus
Q38753,Gyptis roseus,gyptis roseus,False,True,Gyptis roseus,ICZN,1.0,gyptis roseus,[],False,False,Neogyptis rosea,4980501.0,species,ott3.6draft1,"['Gyptis rosea', 'Gyptis roseus', 'Hesionidae gen. sp. MS-2012', 'Ophiodromus roseus']","['ncbi:1137987', 'worms:743514', 'gbif:7387344', 'irmng:11774783']",Neogyptis rosea
Q10892,Protista,protista,True,False,Protista,undefined,1.0,protista,"['hidden', 'barren', 'inconsistent']",True,True,Protista,5267059.0,kingdom,ott3.6draft1,[],['irmng:16'],Protista
Q6521,Caudovirales,caudovirales,,,,,,,,,,,,,,,,
Q64119,Echiura,echiura,False,False,Echiura,ICZN,1.0,echiura,[],False,False,Echiura,954036.0,subclass,ott3.6draft1,[],"['ncbi:6427', 'worms:1269', 'irmng:1387']",Echiura
Q20868,Ferae,ferae,True,False,Verae,ICZN,0.800000011920929,ferae,[],False,False,Verae,4548414.0,no rank,ott3.6draft1,[],['gbif:1265862'],Verae
Q6770,Myoviridae,myoviridae,True,False,Myoneridae,ICZN,0.800000011920929,myoviridae,[],False,False,Cuspidariidae,357178.0,family,ott3.6draft1,"['Cardiomyidae', 'Myoneridae', 'Neaeridae']","['worms:1788', 'ncbi:61328', 'gbif:3470', 'irmng:105063']",Cuspidariidae
Q21053,Dicrocoelium dendriticum,dicrocoelium dendriticum,False,False,Dicrocoelium dendriticum,ICZN,1.0,dicrocoelium dendriticum,[],False,False,Dicrocoelium dendriticum,509051.0,species,ott3.6draft1,[],"['ncbi:57078', 'irmng:11272249']",Dicrocoelium dendriticum
Q6808,Siphoviridae,siphoviridae,True,False,Siphoderidae,ICZN,0.8333333134651184,siphoviridae,['sibling_higher'],False,False,Cryptogonimidae,7963.0,family,ott3.6draft1,"['Acanthocollaritrematidae', 'Acanthostomidae', 'Acanthostominae', 'Acetodextrinae', 'Biovariinae', 'Caecincolinae', 'Cryptocollaritrematinae', 'Cryptogoniminae', 'Diplopharyngotrematinae', 'Exorchiinae', 'Harutrematinae', 'Isocoelidae', 'Metadeninae', 'Multigonotylinae', 'Neochasminae', 'Novemtestinae', 'Orientodiploproctodaeinae', 'Polyorchitrematinae', 'Pseudexorchiinae', 'Pseudometadeninae', 'Siphoderidae', 'Siphoderinae', 'Tubanguiinae']","['ncbi:116893', 'worms:108440', 'gbif:3203', 'irmng:110724', 'irmng:111351', 'irmng:117967']",Cryptogonimidae
Q20958,Mya arenaria,mya arenaria,False,False,Mya arenaria,ICZN,1.0,mya arenaria,[],False,False,Mya arenaria,7366.0,species,ott3.6draft1,"['Mya acuta', 'Mya acuta mercenaria', 'Mya alba', 'Mya arenaria corbuloides', 'Mya arenaria ovata', 'Mya areneria', 'Mya communis', 'Mya corpulenta', 'Mya declivis', 'Mya elongata', 'Mya hemphilli', 'Mya japonica', 'Mya lata', 'Mya oonogai', 'Mya subovata', 'Mya subtruncata', 'Sphenia ovoidea']","['worms:140430', 'ncbi:6604', 'ncbi:1980395', 'gbif:2288945', 'gbif:7791733', 'irmng:10837781', 'irmng:10241442', 'irmng:10861663']",Mya arenaria
Q62138,Lactarius deliciosus,lactarius deliciosus,False,False,Lactarius deliciosus,ICN,1.0,lactarius deliciosus,[],False,False,Lactarius deliciosus,54236.0,species,ott3.6draft1,"['Agaricus deliciosus', 'Agaricus deliciosus deliciosus', 'Agaricus deliciosus lamelliporus', 'Agaricus deliciosus var. deliciosus', 'Agaricus deliciosus var. lamelliporus', 'Galorrheus deliciosus', 'Lactarius deliciosus abietinus', 'Lactarius deliciosus aeruginosus', 'Lactarius deliciosus areolatus', 'Lactarius deliciosus atrovirens', 'Lactarius deliciosus deliciosus', 'Lactarius deliciosus f. deliciosus', 'Lactarius deliciosus f. laeticolor', 'Lactarius deliciosus f. rubescens', 'Lactarius deliciosus f. virescens', 'Lactarius deliciosus indigoides', 'Lactarius deliciosus japonicus', 'Lactarius deliciosus ladaniferae', 'Lactarius deliciosus laeticolor', 'Lactarius deliciosus lamelliporus', 'Lactarius deliciosus lateritius', 'Lactarius deliciosus olivaceosordidus', 'Lactarius deliciosus piceae', 'Lactarius deliciosus picei', 'Lactarius deliciosus piceus', 'Lactarius deliciosus pini', 'Lactarius deliciosus pinicola', 'Lactarius deliciosus rubescens', 'Lactarius deliciosus tenuis', 'Lactarius deliciosus var. abietinus', 'Lactarius deliciosus var. aeruginosus', 'Lactarius deliciosus var. areolatus', 'Lactarius deliciosus var. atrovirens', 'Lactarius deliciosus var. deliciosus', 'Lactarius deliciosus var. indigoides', 'Lactarius deliciosus var. japonicus', 'Lactarius deliciosus var. ladaniferae', 'Lactarius deliciosus var. lamelliporus', 'Lactarius deliciosus var. lateritius', 'Lactarius deliciosus var. olivaceosordidus', 'Lactarius deliciosus var. piceae', 'Lactarius deliciosus var. piceus', 'Lactarius deliciosus var. pini', 'Lactarius deliciosus var. pinicola', 'Lactarius deliciosus var. tenuis', 'Lactarius deliciosus var. violascens', 'Lactarius deliciosus violascens', 'Lactarius deliciosus virescens', 'Lactarius japonicus', 'Lactarius laeticolor', 'Lactarius lamelliporus', 'Lactarius lateritius', 'Lactifluus deliciosus']","['if:224737', 'ncbi:55514', 'ncbi:457101', 'ncbi:457100', 'ncbi:457093', 'gbif:5248629', 'irmng:11358937']",Lactarius deliciosus
Q6797,Podoviridae,podoviridae,True,False,Podosiridae,ICZN,0.9090909361839294,podoviridae,['sibling_higher'],False,False,Podosiridae,5741906.0,family,ott3.6draft1,[],"['worms:488309', 'gbif:8161144']",Podosiridae
Q65021,Plasmodium berghei,plasmodium berghei,False,False,Plasmodium berghei,ICN,1.0,plasmodium berghei,[],False,False,Plasmodium berghei,724398.0,species,ott3.6draft1,[],"['silva:M19712', 'ncbi:5821']",Plasmodium berghei
Q8316,Dicotyledones,dicotyledones,,,,,,,,,,,,,,,,
Q69308,Theope sticheli,theope sticheli,,,,,,,,,,,,,,,,
Q20857,Crassostrea gigas,crassostrea gigas,False,True,Crassostrea gigas,ICZN,1.0,crassostrea gigas,[],False,False,Magallana gigas,987409.0,species,ott3.6draft1,"['Crassostrea gigas', 'Crassostrea laperousii', 'Crassostrea posjetica', 'Crassostrea talienwhanensis', 'Dioeciostrea hispaniola', 'Lopha posjetica', 'Lopha posjetica beringi', 'Lopha posjetica newelskyi', 'Lopha posjetica zawoikoi', 'Ostraea cymbaeformis', 'Ostraea rostralis', 'Ostrea chemnitzii elongata', 'Ostrea cymbaeformis', 'Ostrea gigas', 'Ostrea gigas tientsiensis', 'Ostrea gravitesta', 'Ostrea laperousii', 'Ostrea posjetica', 'Ostrea rostralis', 'Ostrea talienwhanensis']","['worms:836033', 'ncbi:29159', 'ncbi:2171618', 'gbif:7820753']",Magallana gigas
Q6946,Cytomegalovirus,cytomegalovirus,,,,,,,,,,,,,,,,
Q13178,Vaccinium sect. Cyanococcus,vaccinium sect.,,,,,,,,,,,,,,,,
Q17700,Lutreola,lutreola,False,True,Lutreola,ICZN,1.0,lutreola,[],False,False,Mustela,923108.0,genus,ott3.6draft1,"['Arctogale', 'Cabreragale', 'Cryptomustela', 'Cyanomyonax', 'Cynomyanax', 'Cynomyonax', 'Eumustela', 'Faetorius', 'Foetorius', 'Gale', 'Grammogale', 'Gymnopus', 'Hydromustela', 'Ictis', 'Kolonocus', 'Kolonokus', 'Lutreola', 'Mustelina', 'Mustella', 'Neogale', 'Pictorius', 'Plesiogale', 'Pocockictis', 'Putorices', 'Putorius', 'Vison']","['ncbi:9665', 'gbif:2433922', 'irmng:1357619', 'irmng:1373316', 'irmng:1245939']",Mustela
Q20949,Acrochaene punctata,acrochaene punctata,False,True,Acrochaene punctata,ICN,1.0,acrochaene punctata,[],False,False,Bulbophyllum kingii,3993038.0,species,ott3.6draft1,"['Acrochaene punctata', 'Monomeria punctata', 'Phyllorkis kingii']",['gbif:2795403'],Bulbophyllum kingii
Q38719,Gyptis lobatus,gyptis lobatus,False,False,Gyptis lobatus,ICZN,1.0,gyptis lobatus,[],False,False,Gyptis lobatus,4980514.0,species,ott3.6draft1,['Oxydromus lobatus'],"['worms:333527', 'irmng:10240598']",Gyptis lobatus
Q62181,Salamandra,salamandra,False,False,Salamandra,ICZN,1.0,salamandra,[],False,False,Salamandra,115714.0,genus,ott3.6draft1,"['Algiandra', 'Alpandra', 'Corsandra', 'Mimandra', 'Oriandra']","['ncbi:57569', 'gbif:2431473', 'irmng:1023258']",Salamandra
Q63898,Cyphorhinus arada,cyphorhinus arada,False,False,Cyphorhinus arada,ICZN,1.0,cyphorhinus arada,[],False,False,Cyphorhinus arada,881734.0,species,ott3.6draft1,['Cyphorhinus aradus'],"['ncbi:241551', 'irmng:11409917']",Cyphorhinus arada
Q64683,Aloe ruffingiana,aloe ruffingiana,,,,,,,,,,,,,,,,
Q21132,Mytilus,mytilus,False,False,Mytilus,ICZN,1.0,mytilus,['sibling_higher'],False,False,Mytilus,1025560.0,genus,ott3.6draft1,"['Crassimytilus', 'Crenomytilus', 'Eumytilus', 'Mitilus', 'Mitylus', 'Mylilus', 'Myrtilus', 'Mytelus', 'Mythus', 'Mytilas', 'Mytilis', 'Mytillus', 'Mytulus', 'Pacifimytilus']","['worms:138228', 'ncbi:6548', 'gbif:2285679', 'irmng:1260439']",Mytilus
Q6553,Picornavirales,picornavirales,,,,,,,,,,,,,,,,
Q12072,Opisthothelae,opisthothelae,True,False,Opisthothylax,ICZN,0.8461538553237915,opisthothelae,[],False,False,Opisthothylax,645881.0,genus,ott3.6draft1,[],"['ncbi:187484', 'gbif:2426512', 'irmng:1019954']",Opisthothylax
Q6836,Ascoviridae,ascoviridae,True,False,Ascosiidae,ICZN,0.800000011920929,ascoviridae,[],False,False,Ascosiidae,4149012.0,family,ott3.6draft1,[],"['worms:110727', 'gbif:5794', 'irmng:115517']",Ascosiidae
Q6729,Tymoviridae,tymoviridae,,,,,,,,,,,,,,,,
Q21118,Acanthephippium,acanthephippium,False,True,Acanthephippium,ICN,1.0,acanthephippium,[],False,False,Acanthophippium,209837.0,genus,ott3.6draft1,['Acanthephippium'],"['ncbi:78686', 'gbif:7320949', 'gbif:8366990']",Acanthophippium
Q38385,Rhopalura pelseneeri,rhopalura pelseneeri,True,False,Rhopalura pelseneeri,ICZN,1.0,rhopalura pelseneeri,['hidden'],True,True,Rhopalura pelseneeri,3684287.0,species,ott3.6draft1,['Rhopalura pelseeneri'],"['worms:237842', 'irmng:10000186', 'irmng:10813831']",Rhopalura pelseneeri
Q62370,Megalobulimus popelairianus,megalobulimus popelairianus,False,False,Megalobulimus popelairianus,ICZN,1.0,megalobulimus popelairianus,[],False,False,Megalobulimus popelairianus,548991.0,species,ott3.6draft1,['Megalobulimus thammianus'],['ncbi:1087358'],Megalobulimus popelairianus
Q62797,Ectoedemia alexandria,ectoedemia alexandria,False,True,Ectoedemia alexandria,ICZN,1.0,ectoedemia alexandria,[],False,False,Fomoria alexandria,7724364.0,species,ott3.6draft1,['Ectoedemia alexandria'],['gbif:9470992'],Fomoria alexandria
Q65307,Bellevalia paradoxa,bellevalia paradoxa,False,True,Bellevalia paradoxa,ICN,1.0,bellevalia paradoxa,[],False,False,Bellevalia pycnantha,3969629.0,species,ott3.6draft1,"['Bellevalia acutifolia', 'Bellevalia elwendica', 'Bellevalia paradoxa', 'Botryanthus paradoxus', 'Hyacinthella paradoxa', 'Hyacinthella pycnantha', 'Hyacinthus elwendius', 'Hyacinthus paradoxus', 'Hyacinthus pycnanthus', 'Muscari acutifolium', 'Muscari elwendium', 'Muscari paradoxum', 'Muscari pycnanthum', 'Pseudomuscari acutifolium', 'Pseudomuscari paradoxum']","['ncbi:1315757', 'gbif:2771873']",Bellevalia pycnantha
Q19159,Tetrapoda,tetrapoda,False,False,Tetrapoda,ICZN,1.0,tetrapoda,[],False,False,Tetrapoda,229562.0,superclass,ott3.6draft1,[],"['ncbi:32523', 'worms:1831']",Tetrapoda
Q19430,Xiphosura,xiphosura,False,False,Xiphosura,ICZN,1.0,xiphosura,[],False,False,Xiphosura,1041486.0,order,ott3.6draft1,[],"['ncbi:6845', 'irmng:10685']",Xiphosura
Q21038,Lychnis flos-cuculi,lychnis flos-cuculi,False,True,Lychnis flos-cuculi,ICN,1.0,lychnis flos-cuculi,[],False,False,Silene flos-cuculi,569458.0,species,ott3.6draft1,"['Agrostemma flos-cuculi', 'Agrostemma lusitanica', 'Coccyganthe flos-cuculi', 'Coccyganthe pratensis', 'Coccyganthe tragi', 'Coronaria flos-cuculi', 'Floscuculi pratense', 'Lychnis coccugosantha', 'Lychnis cyrilli', 'Lychnis flos-cuculi', 'Lychnis flos-cuculi congesta', 'Lychnis flos-cuculi cyrilli', 'Lychnis flos-cuculi flos-cuculi', 'Lychnis laciniata', 'Lychnis laciniflora', 'Lychnis lusitanica', 'Lychnis plumaria', 'Lychnis quadridentata', 'Melandrium flos-cuculi', 'Silene cuculi']","['ncbi:42036', 'gbif:5384738', 'irmng:11223284']",Silene flos-cuculi
Q18861,Hydrophasianus chirurgus,hydrophasianus chirurgus,False,False,Hydrophasianus chirurgus,ICZN,1.0,hydrophasianus chirurgus,[],False,False,Hydrophasianus chirurgus,977453.0,species,ott3.6draft1,['Tringa chirurgus'],"['ncbi:118785', 'gbif:2481840', 'irmng:10931277']",Hydrophasianus chirurgus
Q13180,Rubus subg. Rubus,rubus subg.,,,,,,,,,,,,,,,,
Q19163,Neornithes,neornithes,True,False,Neorites,ICN,0.75,neornithes,[],False,False,Neorites,603577.0,genus,ott3.6draft1,[],"['ncbi:83728', 'gbif:7286948', 'irmng:1291963']",Neorites
Q21153,Tadorninae,tadorninae,False,False,Tadorninae,ICZN,1.0,tadorninae,[],False,False,Tadorninae,7068148.0,subfamily,ott3.6draft1,[],['ncbi:2068719'],Tadorninae
Q38512,Gyptis brevipalpa,gyptis brevipalpa,False,True,Gyptis brevipalpa,ICZN,1.0,gyptis brevipalpa,[],False,False,Podarkeopsis brevipalpa,4980394.0,species,ott3.6draft1,"['Gyptis brevipalapa', 'Gyptis brevipalpa', 'Oxydromus brevipalpa']","['worms:157532', 'gbif:2309035', 'irmng:10232403', 'irmng:10822308']",Podarkeopsis brevipalpa
Q38542,Gyptis rosea,gyptis rosea,False,False,Gyptis rosea,ICZN,1.0,gyptis rosea,[],False,False,Gyptis rosea,585346.0,species,ott3.6draft1,[],"['ncbi:378357', 'worms:130157', 'gbif:8920324', 'irmng:10240337']",Gyptis rosea
Q38739,Intoshia major,intoshia major,False,False,Intoshia major,ICZN,1.0,intoshia major,[],False,False,Intoshia major,3684301.0,species,ott3.6draft1,['Rhopalura major'],"['worms:119169', 'gbif:2509133', 'irmng:11054525']",Intoshia major
Q60430,Paraliparis brunneus,paraliparis brunneus,False,False,Paraliparis brunneus,ICZN,1.0,paraliparis brunneus,[],False,False,Paraliparis brunneus,3631820.0,species,ott3.6draft1,[],"['worms:274560', 'gbif:2336282', 'irmng:10145076']",Paraliparis brunneus
Q61865,Pavo cristatus,pavo cristatus,False,False,Pavo cristatus,ICZN,1.0,pavo cristatus,[],False,False,Pavo cristatus,453575.0,species,ott3.6draft1,[],"['ncbi:9049', 'gbif:9451184', 'irmng:11160615']",Pavo cristatus
Q63262,Cerocephalinae,cerocephalinae,False,False,Cerocephalinae,ICZN,1.0,cerocephalinae,[],False,False,Cerocephalinae,287789.0,subfamily,ott3.6draft1,[],['ncbi:405280'],Cerocephalinae
Q19166,Palaeognathae,palaeognathae,False,False,Palaeognathae,ICZN,1.0,palaeognathae,['sibling_higher'],False,False,Palaeognathae,81443.0,superorder,ott3.6draft1,[],['ncbi:8783'],Palaeognathae
Q6120,Erinaceinae,erinaceinae,False,False,Erinaceinae,ICZN,1.0,erinaceinae,[],False,False,Erinaceinae,805540.0,subfamily,ott3.6draft1,[],['ncbi:30577'],Erinaceinae
Q12081,Mygalomorphae,mygalomorphae,False,False,Mygalomorphae,ICZN,1.0,mygalomorphae,[],False,False,Mygalomorphae,399421.0,suborder,ott3.6draft1,['Orthognatha'],['ncbi:6894'],Mygalomorphae
Q20862,Tethytheria,tethytheria,,,,,,,,,,,,,,,,
Q6929,Human herpesvirus 5,human herpesvirus,,,,,,,,,,,,,,,,
Q7372,Selachimorpha,selachimorpha,False,True,Selachimorpha,ICZN,1.0,selachimorpha,['sibling_higher'],False,False,Selachii,78477.0,infraclass,ott3.6draft1,['Selachimorpha'],"['ncbi:119203', 'worms:368408']",Selachii
Q12076,Mesothelae,mesothelae,False,False,Mesothelae,ICZN,1.0,mesothelae,[],False,False,Mesothelae,49688.0,no rank,ott3.6draft1,[],['ncbi:58762'],Mesothelae
Q19170,Ratitae,ratitae,,,,,,,,,,,,,,,,
Q19707,Equus africanus asinus,equus africanus,False,True,Equus africanus,ICZN,1.0,equus africanus,['infraspecific'],False,False,Equus asinus africanus,519153.0,subspecies,ott3.6draft1,"['Equus africanus', 'Equus africanus asinus']","['ncbi:582580', 'gbif:5787168']",Equus asinus africanus
Q37212,Lemuriformes,lemuriformes,False,False,Lemuriformes,ICZN,1.0,lemuriformes,[],False,False,Lemuriformes,702142.0,infraorder,ott3.6draft1,[],['ncbi:376915'],Lemuriformes
Q7375,Camelus,camelus,False,False,Camelus,ICZN,1.0,camelus,[],False,False,Camelus,510767.0,genus,ott3.6draft1,"['Camelius', 'Camellus', 'Camelus dromedarius hybridus', 'Dromedarius', 'Paracamelus', 'Paracamelus arenicola']","['ncbi:9836', 'gbif:2441236', 'irmng:1275636']",Camelus
Q20634,Vitis vinifera subsp. vinifera,vitis vinifera,False,False,Vitis vinifera,ICN,1.0,vitis vinifera,[],False,False,Vitis vinifera,756728.0,species,ott3.6draft1,"['Cissus vinifera', 'Vitis alexandrina', 'Vitis apiana', 'Vitis apiifolia', 'Vitis apyrena', 'Vitis cebennensis', 'Vitis corinthiaca', 'Vitis cylindrica', 'Vitis densiflora', 'Vitis farinosa', 'Vitis guilelmi', 'Vitis isabella', 'Vitis labrusca', 'Vitis laciniosa', 'Vitis laxiflora', 'Vitis mensarum', 'Vitis moschata', 'Vitis praecox', 'Vitis saccharina', 'Vitis silvestris', 'Vitis sinuosa', 'Vitis succinea', 'Vitis tinctoria', 'Vitis turbinata', 'Vitis vinifera sativa', 'Vitis vinifera subsp. vinifera', 'Vitis virgiliana']","['ncbi:29760', 'gbif:5372392', 'irmng:10592411']",Vitis vinifera
Q74083,Ostracodermi,ostracodermi,True,False,Ostracodermi,ICZN,1.0,ostracodermi,"['hidden', 'barren', 'extinct', 'incertae_sedis', 'sibling_higher']",True,True,Ostracodermi,5292522.0,no rank,ott3.6draft1,[],['irmng:1429'],Ostracodermi
Q80459,Boreostereaceae,boreostereaceae,False,True,Boreostereaceae,ICN,1.0,boreostereaceae,[],False,False,Gloeophyllaceae,247829.0,family,ott3.6draft1,['Boreostereaceae'],"['if:81777', 'ncbi:452340', 'gbif:8462', 'irmng:106964']",Gloeophyllaceae
Q80619,Trichomycetes,trichomycetes,True,False,Trichomyces,ICN,0.8181818127632141,trichomycetes,[],False,False,Trichophyton,364220.0,genus,ott3.6draft1,"['Achorion', 'Aleurosporia', 'Arthrosporia', 'Bodinia', 'Chlamydoaleurosporia', 'Ectotrichophyton', 'Endodermophyton', 'Favotrichophyton', 'Grubyella', 'Kaufmannwolfia', 'Keratinomyces', 'Langeronia', 'Lophophyton', 'Megatrichophyton', 'Microides', 'Microtrichophyton', 'Neotrichophyton', 'Pinoyella', 'Sabouraudiella', 'Schoenleinium', 'Spiralia', 'Trichomyces', 'Vanbreuseghemia']","['if:10292', 'ncbi:1916090', 'ncbi:2081530', 'ncbi:310491', 'ncbi:5550', 'gbif:2595868', 'gbif:2595985', 'irmng:1449707', 'irmng:1097227']",Trichophyton
Q110065,Ballini,ballini,True,False,Baleini,ICZN,0.8571428656578064,ballini,['sibling_higher'],False,False,Baleini,187067.0,tribe,ott3.6draft1,[],['ncbi:1162416'],Baleini
Q110352,Itatini,itatini,,,,,,,,,,,,,,,,
Q110123,Rudrini,rudrini,,,,,,,,,,,,,,,,
Q110307,Zenodorini,zenodorini,,,,,,,,,,,,,,,,
Q114551,Accipiter griseiceps,accipiter griseiceps,False,False,Accipiter griseiceps,ICZN,1.0,accipiter griseiceps,[],False,False,Accipiter griseiceps,3596225.0,species,ott3.6draft1,[],"['gbif:9794986', 'irmng:10190437']",Accipiter griseiceps
Q132457,Scopula imitaria,scopula imitaria,False,False,Scopula imitaria,ICZN,1.0,scopula imitaria,['sibling_higher'],False,False,Scopula imitaria,878693.0,species,ott3.6draft1,"['Acidalia imitaria', 'Geometra imitaria']","['ncbi:190359', 'gbif:8014296', 'irmng:11118019']",Scopula imitaria
Q132644,Lactobacillus acidophilus,lactobacillus acidophilus,False,False,Lactobacillus acidophilus,ICNP,1.0,lactobacillus acidophilus,['sibling_higher'],False,False,Lactobacillus acidophilus,487693.0,species,ott3.6draft1,"['Bacillus acidophilus', 'Lactobacillus acidophilus B6T7', 'Lactobacillus sp. JCM 1033', 'Lactobacillus sp. JCM 1034', 'Lactobacillus sp. JCM 1035', 'Thermobacterium intestinale']","['silva:JF714945', 'ncbi:1579', 'gbif:7485397', 'irmng:10034123']",Lactobacillus acidophilus
Q132631,Reduncinae,reduncinae,False,False,Reduncinae,ICZN,1.0,reduncinae,[],False,False,Reduncinae,513800.0,subfamily,ott3.6draft1,[],['ncbi:59549'],Reduncinae
Q132590,Vivianiaceae,vivianiaceae,False,True,Vivianiaceae,ICN,1.0,vivianiaceae,[],False,False,Francoaceae,126944.0,family,ott3.6draft1,"['Bersamaceae', 'Greyiaceae', 'Ledocarpaceae', 'Melianthaceae', 'Rhynchothecaceae', 'Vivianiaceae', 'Xerophyllaceae']","['ncbi:85174', 'gbif:3230710', 'gbif:3231985', 'gbif:4924809', 'irmng:115497', 'irmng:113486']",Francoaceae
